First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Wayne;Cole;;"6' 1""";205 lbs.;--;Orthodox;16;25;0;6.0;1.0;185.42000000000002;205.0;92.98636
Devin;Cole;;"6' 4""";240 lbs.;--;Orthodox;20;10;1;6.0;4.0;193.04;240.0;108.86207999999999
Coltin;Cole;;--;185 lbs.;--;;4;5;0;;;;185.0;83.91452
Ivan;Cole;JP;"5' 9""";135 lbs.;--;;2;3;0;5.0;9.0;175.26;135.0;61.23492
Chandler;Cole;The Hammer;"5' 10""";264 lbs.;"72.0""";Orthodox;10;4;0;5.0;10.0;177.8;264.0;119.748288
Mark;Coleman;The Hammer;"6' 1""";205 lbs.;"75.0""";Orthodox;16;10;0;6.0;1.0;185.42000000000002;205.0;92.98636
Cortez;Coleman;Hollywood;"6' 1""";185 lbs.;--;;13;8;0;6.0;1.0;185.42000000000002;185.0;83.91452
Clay;Collard;Cassius;"5' 11""";145 lbs.;"73.0""";Orthodox;14;7;0;5.0;11.0;180.34;145.0;65.77083999999999
Jamie;Colleen;;"5' 3""";115 lbs.;"65.0""";Orthodox;4;1;0;5.0;3.0;160.02;115.0;52.16308
Jake;Collier;The Prototype;"6' 3""";230 lbs.;"78.0""";Orthodox;13;10;0;6.0;3.0;190.5;230.0;104.32616
Christian;Colombo;;"6' 5""";265 lbs.;--;Orthodox;8;3;1;6.0;5.0;195.58;265.0;120.20188
Willian;Colorado;;"5' 10""";135 lbs.;"72.0""";;11;1;0;5.0;10.0;177.8;135.0;61.23492
Wes;Combs;The Soldier;"6' 2""";205 lbs.;--;Orthodox;20;6;0;6.0;2.0;187.96;205.0;92.98636
Rose;Conceicao;;"4' 7""";115 lbs.;"65.0""";Orthodox;7;1;0;4.0;7.0;139.7;115.0;52.16308
Roque;Conceicao;;"5' 4""";125 lbs.;"67.0""";Orthodox;10;3;0;5.0;4.0;162.56;125.0;56.699
Carlos;Condit;The Natural Born Killer;"6' 2""";170 lbs.;"75.0""";Orthodox;32;14;0;6.0;2.0;187.96;170.0;77.11064
Chris;Condo;;"6' 0""";335 lbs.;--;Orthodox;0;1;0;6.0;0.0;182.88;335.0;151.95332
Jack;Congdon;.50 Cal;"6' 2""";170 lbs.;"75.0""";Switch;7;2;0;6.0;2.0;187.96;170.0;77.11064
Tristan;Connelly;Boondock;"5' 10""";145 lbs.;"68.0""";Orthodox;14;8;0;5.0;10.0;177.8;145.0;65.77083999999999
Marcos;Conrado Jr.;;"6' 2""";220 lbs.;--;Orthodox;5;1;0;6.0;2.0;187.96;220.0;99.79024
Jeremiah;Constant;;"6' 1""";240 lbs.;--;Orthodox;11;8;0;6.0;1.0;185.42000000000002;240.0;108.86207999999999
Jonathan;Contrestano;JT;--;155 lbs.;--;;6;0;0;;;;155.0;70.30676
Bob;Cook;Crazy;"5' 9""";170 lbs.;--;Orthodox;5;0;0;5.0;9.0;175.26;170.0;77.11064
Mike;Cook;;"6' 1""";205 lbs.;--;Orthodox;13;13;0;6.0;1.0;185.42000000000002;205.0;92.98636
Chad;Cook;;"6' 2""";205 lbs.;--;;10;12;0;6.0;2.0;187.96;205.0;92.98636
TJ;Cook;;--;205 lbs.;--;;13;5;0;;;;205.0;92.98636
Dewey;Cooper;The Black Cobra;--;205 lbs.;--;;2;1;0;;;;205.0;92.98636
Brett;Cooper;;"6' 0""";170 lbs.;--;Orthodox;23;12;0;6.0;0.0;182.88;170.0;77.11064
Bill;Cooper;;--;155 lbs.;--;;2;1;0;;;;155.0;70.30676
Bobby;Cooper;Super Duper;"6' 1""";155 lbs.;--;;12;7;0;6.0;1.0;185.42000000000002;155.0;70.30676
Amanda;Cooper;ABC;"5' 3""";115 lbs.;"64.0""";Switch;3;5;0;5.0;3.0;160.02;115.0;52.16308
Kit;Cope;Havoc;"6' 0""";170 lbs.;--;Orthodox;6;7;0;6.0;0.0;182.88;170.0;77.11064
Chris;Cope;C-Murder;"6' 0""";170 lbs.;"72.0""";Orthodox;8;4;0;6.0;0.0;182.88;170.0;77.11064
Josh;Copeland;Cuddly Bear;"6' 1""";265 lbs.;--;Orthodox;12;4;0;6.0;1.0;185.42000000000002;265.0;120.20188
Michael;Cora;Kookie Monster;"6' 1""";170 lbs.;"77.0""";Southpaw;4;1;0;6.0;1.0;185.42000000000002;170.0;77.11064
Akira;Corassani;;"5' 8""";145 lbs.;"68.0""";Orthodox;12;6;0;5.0;8.0;172.72;145.0;65.77083999999999
Muhsin;Corbbrey;;"5' 10""";155 lbs.;--;Orthodox;17;9;0;5.0;10.0;177.8;155.0;70.30676
Alden;Coria;Cobra;"5' 8""";125 lbs.;"67.0""";Orthodox;11;3;0;5.0;8.0;172.72;125.0;56.699
Daniel;Cormier;DC;"5' 11""";235 lbs.;"72.0""";Orthodox;22;3;0;5.0;11.0;180.34;235.0;106.59412
Nora;Cornolle;;"5' 7""";135 lbs.;"67.0""";Orthodox;9;3;0;5.0;7.0;170.18;135.0;61.23492
Clint;Coronel;;--;155 lbs.;--;;2;5;0;;;;155.0;70.30676
Henry;Corrales;;"5' 9""";145 lbs.;--;;13;3;0;5.0;9.0;175.26;145.0;65.77083999999999
Bethe;Correia;Pitbull;"5' 5""";135 lbs.;"64.0""";Orthodox;11;6;1;5.0;5.0;165.1;135.0;61.23492
Wesley;Correira;Cabbage;"6' 3""";260 lbs.;--;Orthodox;20;16;0;6.0;3.0;190.5;260.0;117.93392
Waldo;Cortes Acosta;Salsa Boy;"6' 4""";260 lbs.;"78.0""";Orthodox;17;2;0;6.0;4.0;193.04;260.0;117.93392
Tracy;Cortez;;"5' 5""";125 lbs.;"65.0""";Orthodox;12;3;0;5.0;5.0;165.1;125.0;56.699
Reyes;Cortez Jr.;;"5' 7""";135 lbs.;"68.0""";Orthodox;7;3;0;5.0;7.0;170.18;135.0;61.23492
Chad;Corvin;The Brave Warrior;"6' 5""";255 lbs.;--;;5;0;0;6.0;5.0;195.58;255.0;115.66596
Louis;Cosce;;"5' 9""";170 lbs.;"71.0""";Orthodox;7;2;0;5.0;9.0;175.26;170.0;77.11064
Orion;Cosce;Galaxy;"5' 11""";170 lbs.;"71.0""";Switch;8;2;0;5.0;11.0;180.34;170.0;77.11064
Miguel;Cosio;;"6' 4""";205 lbs.;--;;1;13;0;6.0;4.0;193.04;205.0;92.98636
Jadson;Costa;;"5' 7""";155 lbs.;--;Orthodox;22;8;0;5.0;7.0;170.18;155.0;70.30676
Guilherme;Costa;The Prodigy;--;155 lbs.;--;;7;1;0;;;;155.0;70.30676
Paulo;Costa;The Eraser;"6' 1""";185 lbs.;"72.0""";Orthodox;15;4;0;6.0;1.0;185.42000000000002;185.0;83.91452
Randy;Costa;The Zohan;"5' 9""";135 lbs.;"73.0""";Switch;6;4;0;5.0;9.0;175.26;135.0;61.23492
Alessandro;Costa;Nono;"5' 4""";125 lbs.;"67.0""";Orthodox;14;5;0;5.0;4.0;162.56;125.0;56.699
Melquizael;Costa;The Dalmatian;"5' 10""";145 lbs.;"71.0""";Southpaw;25;7;0;5.0;10.0;177.8;145.0;65.77083999999999
Vitor;Costa;;"6' 2""";185 lbs.;"75.0""";Orthodox;8;2;0;6.0;2.0;187.96;185.0;83.91452
Oscar;Cota;Elevation;"6' 0""";230 lbs.;"72.0""";Orthodox;11;3;0;6.0;0.0;182.88;230.0;104.32616
Patrick;Cote;The Predator;"5' 11""";170 lbs.;"75.0""";Orthodox;23;11;0;5.0;11.0;180.34;170.0;77.11064
JC;Cottrell;;"5' 9""";155 lbs.;--;Orthodox;17;5;0;5.0;9.0;175.26;155.0;70.30676
JR;Coughran;Bam Bam;"5' 6""";145 lbs.;--;Orthodox;4;1;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Rashad;Coulter;Daywalker;"5' 11""";205 lbs.;"76.0""";Orthodox;9;4;0;5.0;11.0;180.34;205.0;92.98636
Dave;Courchaine;;"5' 8""";170 lbs.;--;;20;7;0;5.0;8.0;172.72;170.0;77.11064
Randy;Couture;The Natural;"6' 1""";205 lbs.;"75.0""";Orthodox;19;11;0;6.0;1.0;185.42000000000002;205.0;92.98636
Kim;Couture;Sugar Free;"5' 8""";135 lbs.;--;Orthodox;3;8;0;5.0;8.0;172.72;135.0;61.23492
Ryan;Couture;;"5' 10""";155 lbs.;"73.0""";Orthodox;11;5;0;5.0;10.0;177.8;155.0;70.30676
Nikk;Covert;The Brick;"5' 8""";185 lbs.;--;;3;4;0;5.0;8.0;172.72;185.0;83.91452
Colby;Covington;Chaos;"5' 11""";170 lbs.;"72.0""";Orthodox;17;5;0;5.0;11.0;180.34;170.0;77.11064
Hailey;Cowan;All Hail;"5' 8""";135 lbs.;"67.0""";Southpaw;7;4;0;5.0;8.0;172.72;135.0;61.23492
Jeff;Cox;The Grinder;"5' 10""";155 lbs.;--;Orthodox;10;7;0;5.0;10.0;177.8;155.0;70.30676
Nathan;Coy;Soulforce;"5' 10""";170 lbs.;"69.0""";Southpaw;15;7;0;5.0;10.0;177.8;170.0;77.11064
Andrew;Craig;Highlight;"6' 1""";170 lbs.;"76.0""";Orthodox;9;4;0;6.0;1.0;185.42000000000002;170.0;77.11064
Paul;Craig;Bearjew;"6' 3""";205 lbs.;"76.0""";Orthodox;17;10;1;6.0;3.0;190.5;205.0;92.98636
Dan;Cramer;;"6' 2""";170 lbs.;--;Orthodox;11;4;0;6.0;2.0;187.96;170.0;77.11064
Alberto;Crane;;"5' 5""";155 lbs.;--;Orthodox;15;5;0;5.0;5.0;165.1;155.0;70.30676
Tim;Credeur;;"6' 3""";185 lbs.;"75.0""";Orthodox;12;4;0;6.0;3.0;190.5;185.0;83.91452
Paul;Creighton;;"5' 6""";155 lbs.;--;Southpaw;3;1;0;5.0;6.0;167.64000000000001;155.0;70.30676
Helena;Crevar;;--;--;--;;0;0;0;;;;;
Alexander;Crispim;;--;145 lbs.;--;;8;6;0;;;;145.0;65.77083999999999
Alex;Crispin;;--;155 lbs.;--;;0;1;0;;;;155.0;70.30676
Melissa;Croden;Scare;"5' 9""";135 lbs.;"68.0""";Orthodox;7;3;0;5.0;9.0;175.26;135.0;61.23492
Kevin;Croom;Crash;"5' 11""";135 lbs.;"73.0""";Orthodox;21;15;0;5.0;11.0;180.34;135.0;61.23492
Kiefer;Crosbie;BDK;"5' 11""";170 lbs.;"70.0""";Switch;10;6;0;5.0;11.0;180.34;170.0;77.11064
Ken;Cross;The Boss;"6' 0""";155 lbs.;"72.0""";Southpaw;11;3;0;6.0;0.0;182.88;155.0;70.30676
Jeff;Crotty;;--;155 lbs.;--;;1;1;0;;;;155.0;70.30676
Allen;Crowder;Pretty Boy;"6' 3""";245 lbs.;"76.0""";Orthodox;10;4;0;6.0;3.0;190.5;245.0;111.13004
Daron;Cruickshank;Detroit Superstar;"5' 8""";155 lbs.;"72.0""";Switch;18;10;0;5.0;8.0;172.72;155.0;70.30676
Richard;Crunkilton;Cleat;"5' 7""";155 lbs.;--;Orthodox;19;4;0;5.0;7.0;170.18;155.0;70.30676
Jimmy;Crute;;"6' 2""";205 lbs.;"74.0""";Orthodox;14;4;2;6.0;2.0;187.96;205.0;92.98636
Marcio;Cruz;Pe de Pano;"6' 4""";232 lbs.;--;Orthodox;8;3;0;6.0;4.0;193.04;232.0;105.233344
Dominick;Cruz;The Dominator;"5' 8""";135 lbs.;"68.0""";Orthodox;24;4;0;5.0;8.0;172.72;135.0;61.23492
Aalon;Cruz;;"6' 0""";145 lbs.;"78.0""";Switch;8;4;0;6.0;0.0;182.88;145.0;65.77083999999999
Timmy;Cuamba;Twilight;"5' 9""";135 lbs.;"71.0""";Orthodox;10;3;0;5.0;9.0;175.26;135.0;61.23492
Jay;Cucciniello;;"5' 7""";155 lbs.;--;Orthodox;8;1;0;5.0;7.0;170.18;155.0;70.30676
Emilio;Cuellar;Show Kid;--;125 lbs.;--;;6;1;0;;;;125.0;56.699
Josh;Culibao;Kuya;"5' 10""";145 lbs.;"73.0""";Orthodox;11;4;1;5.0;10.0;177.8;145.0;65.77083999999999
Chris;Culley;;--;145 lbs.;--;;20;15;0;;;;145.0;65.77083999999999
Abel;Cullum;The Silent Assassin;"5' 7""";139 lbs.;--;Orthodox;20;6;0;5.0;7.0;170.18;139.0;63.049288
Zak;Cummings;;"6' 0""";205 lbs.;"75.0""";Southpaw;25;7;0;6.0;0.0;182.88;205.0;92.98636
Everett;Cummings;;--;205 lbs.;--;;12;0;0;;;;205.0;92.98636
Patrick;Cummins;Durkin;"6' 2""";205 lbs.;"76.0""";Orthodox;10;7;0;6.0;2.0;187.96;205.0;92.98636
Luke;Cummo;;"6' 0""";170 lbs.;"74.0""";Orthodox;6;6;0;6.0;0.0;182.88;170.0;77.11064
Hugo;Cunha;Silverback;"6' 3""";263 lbs.;"79.0""";Orthodox;8;2;0;6.0;3.0;190.5;263.0;119.294696
Alton;Cunningham;The Bo-Man;"6' 2""";205 lbs.;"77.0""";Orthodox;4;2;0;6.0;2.0;187.96;205.0;92.98636
AJ;Cunningham;The Savage;"5' 10""";135 lbs.;"71.0""";Orthodox;11;5;0;5.0;10.0;177.8;135.0;61.23492
Tommy;Cuozzi Jr.;Little T;"5' 9""";145 lbs.;"71.0""";Orthodox;8;1;0;5.0;9.0;175.26;145.0;65.77083999999999
Santo;Curatolo;;"5' 3""";125 lbs.;"62.0""";Southpaw;6;2;0;5.0;3.0;160.02;125.0;56.699
Larry;Cureton;;"6' 2""";240 lbs.;--;Orthodox;0;2;0;6.0;2.0;187.96;240.0;108.86207999999999
Jeff;Curran;Big Frog;"5' 6""";135 lbs.;"69.0""";Orthodox;36;18;1;5.0;6.0;167.64000000000001;135.0;61.23492
Kailin;Curran;;"5' 4""";115 lbs.;"65.0""";Orthodox;4;5;0;5.0;4.0;162.56;115.0;52.16308
Pat;Curran;Paddy Mike;"5' 9""";145 lbs.;--;;22;7;0;5.0;9.0;175.26;145.0;65.77083999999999
Will;Currie;Drago;"6' 3""";185 lbs.;"76.0""";Switch;12;4;0;6.0;3.0;190.5;185.0;83.91452
Chris;Curtis;Action-Man;"5' 10""";170 lbs.;"75.0""";Orthodox;32;12;0;5.0;10.0;177.8;170.0;77.11064
Ion;Cutelaba;The Hulk;"6' 1""";205 lbs.;"75.0""";Southpaw;19;11;1;6.0;1.0;185.42000000000002;205.0;92.98636
Gleidson;Cutis;Poney;"5' 9""";155 lbs.;--;Orthodox;7;4;0;5.0;9.0;175.26;155.0;70.30676
Sarah;D'alelio;The Monster;"5' 7""";145 lbs.;--;;11;7;0;5.0;7.0;170.18;145.0;65.77083999999999
Marcos;da Matta;Parrumpinha;"5' 4""";145 lbs.;--;;11;3;0;5.0;4.0;162.56;145.0;65.77083999999999
Henrique;da Silva;Frankenstein;"6' 3""";205 lbs.;"76.0""";Orthodox;14;5;0;6.0;3.0;190.5;205.0;92.98636
Ariane;da Silva;Queen of Violence;"5' 6""";125 lbs.;"67.0""";Orthodox;17;11;0;5.0;6.0;167.64000000000001;125.0;56.699
Alex;Da Silva;Leko;"5' 8""";155 lbs.;"73.0""";Orthodox;21;4;0;5.0;8.0;172.72;155.0;70.30676
Radley;Da Silva;Snake Eyes;"5' 9""";145 lbs.;"71.0""";Orthodox;8;1;0;5.0;9.0;175.26;145.0;65.77083999999999
Henrique;Da Silva Lopes;Montanha;"6' 3""";240 lbs.;--;;5;2;0;6.0;3.0;190.5;240.0;108.86207999999999
Deni;Daffa;;"6' 0""";155 lbs.;"74.0""";Orthodox;6;2;0;6.0;0.0;182.88;155.0;70.30676
Nicolas;Dalby;Lokomotivo;"5' 11""";170 lbs.;"74.0""";Orthodox;24;6;1;5.0;11.0;180.34;170.0;77.11064
Paul;Daley;Semtex;"5' 9""";170 lbs.;"76.0""";Orthodox;39;15;2;5.0;9.0;175.26;170.0;77.11064
Dave;Dalgliesh;;"6' 2""";205 lbs.;--;Orthodox;30;19;2;6.0;2.0;187.96;205.0;92.98636
Richard;Dalton;;"6' 1""";205 lbs.;--;Orthodox;4;3;1;6.0;1.0;185.42000000000002;205.0;92.98636
Aisling;Daly;Ais the Bash;"5' 2""";115 lbs.;"64.0""";Orthodox;16;6;0;5.0;2.0;157.48;115.0;52.16308
Marko;Damiani;;"6' 0""";170 lbs.;--;;0;2;0;6.0;0.0;182.88;170.0;77.11064
Leonardo;Damiani;Puppy;"5' 10""";170 lbs.;"69.0""";Orthodox;10;3;1;5.0;10.0;177.8;170.0;77.11064
Rodrigo;Damm;;"5' 7""";155 lbs.;"71.0""";Orthodox;13;9;0;5.0;7.0;170.18;155.0;70.30676
Carina;Damm;Beauty But the Beast;"5' 4""";135 lbs.;--;;2;13;0;5.0;4.0;162.56;135.0;61.23492
Batgerel;Danaa;Storm;"5' 7""";135 lbs.;"70.0""";Orthodox;12;5;0;5.0;7.0;170.18;135.0;61.23492
Cindy;Dandois;Battlecat;"5' 7""";135 lbs.;--;Orthodox;8;3;0;5.0;7.0;170.18;135.0;61.23492
Peter;Danesoe;The Asian Viking;"5' 9""";135 lbs.;"68.0""";Orthodox;8;4;0;5.0;9.0;175.26;135.0;61.23492
Jarjis;Danho;Man Mountain;"6' 3""";265 lbs.;"74.0""";Orthodox;7;1;1;6.0;3.0;190.5;265.0;120.20188
Jose;Daniel Medina;Chicho;"6' 0""";185 lbs.;"74.0""";Orthodox;11;6;0;6.0;0.0;182.88;185.0;83.91452
Raymond;Daniels;;"6' 2""";185 lbs.;--;Southpaw;0;1;0;6.0;2.0;187.96;185.0;83.91452
Marques;Daniels;;--;155 lbs.;--;;5;5;0;;;;155.0;70.30676
Anvarbek;Daniyalbekov;;--;185 lbs.;--;;8;0;0;;;;185.0;83.91452
Alexandre;Dantas;Cafe;"6' 2""";238 lbs.;--;Orthodox;0;3;0;6.0;2.0;187.96;238.0;107.954896
Eduardo;Dantas;Dudu;"5' 10""";135 lbs.;--;;20;4;0;5.0;10.0;177.8;135.0;61.23492
Mac;Danzig;;"5' 8""";155 lbs.;"70.0""";Orthodox;21;12;1;5.0;8.0;172.72;155.0;70.30676
Karen;Darabedyan;;"5' 7""";155 lbs.;"68.0""";Orthodox;13;6;0;5.0;7.0;170.18;155.0;70.30676
Beneil;Dariush;;"5' 10""";155 lbs.;"72.0""";Southpaw;23;7;1;5.0;10.0;177.8;155.0;70.30676
Sean;Daugherty;;"6' 0""";175 lbs.;--;;0;2;0;6.0;0.0;182.88;175.0;79.3786
Kyle;Daukaus;;"6' 2""";185 lbs.;"76.0""";Southpaw;17;4;0;6.0;2.0;187.96;185.0;83.91452
Chris;Daukaus;;"6' 3""";205 lbs.;"76.0""";Orthodox;12;7;0;6.0;3.0;190.5;205.0;92.98636
Brian;Davidson;;"5' 6""";145 lbs.;--;;13;4;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Rick;Davis;The Flying Squirrel;"5' 9""";155 lbs.;--;Orthodox;3;1;1;5.0;9.0;175.26;155.0;70.30676
Marcus;Davis;The Irish Hand Grenade;"5' 10""";170 lbs.;"70.0""";Southpaw;22;11;0;5.0;10.0;177.8;170.0;77.11064
LC;Davis;;"5' 8""";135 lbs.;"69.0""";Southpaw;23;8;0;5.0;8.0;172.72;135.0;61.23492
Phil;Davis;Mr. Wonderful;"6' 2""";205 lbs.;"79.0""";Orthodox;17;4;0;6.0;2.0;187.96;205.0;92.98636
Lemont;Davis;;"5' 8""";170 lbs.;--;Orthodox;2;6;0;5.0;8.0;172.72;170.0;77.11064
Mike;Davis;;--;--;--;;2;0;0;;;;;
Justin;Davis;Dangerous;"5' 11""";205 lbs.;--;;13;16;0;5.0;11.0;180.34;205.0;92.98636
Alexis;Davis;;"5' 6""";135 lbs.;"68.0""";Orthodox;21;11;0;5.0;6.0;167.64000000000001;135.0;61.23492
Danny;Davis;;"6' 2""";170 lbs.;--;;13;11;1;6.0;2.0;187.96;170.0;77.11064
Brandon;Davis;Killer B;"5' 10""";135 lbs.;"72.0""";Orthodox;14;10;0;5.0;10.0;177.8;135.0;61.23492
Mike;Davis;Beast Boy;"6' 0""";155 lbs.;"72.0""";Orthodox;12;3;0;6.0;0.0;182.88;155.0;70.30676
Hakeem;Dawodu;Mean;"5' 8""";145 lbs.;"73.0""";Orthodox;13;4;1;5.0;8.0;172.72;145.0;65.77083999999999
Grant;Dawson;KGD;"5' 10""";155 lbs.;"72.0""";Switch;23;3;1;5.0;10.0;177.8;155.0;70.30676
Jason;Day;Dooms;"6' 0""";185 lbs.;"72.0""";Orthodox;19;12;0;6.0;0.0;182.88;185.0;83.91452
Martin;Day;The Spartan;"5' 10""";145 lbs.;"73.0""";Orthodox;8;6;0;5.0;10.0;177.8;145.0;65.77083999999999
Angel;De Anda;The Dream;"5' 9""";225 lbs.;--;Orthodox;18;6;0;5.0;9.0;175.26;225.0;102.0582
Yorgan;De Castro;The Mad Titan;"6' 0""";250 lbs.;"74.0""";Orthodox;6;3;0;6.0;0.0;182.88;250.0;113.398
Geraldo;de Freitas;Spartan;"5' 7""";135 lbs.;"72.0""";Orthodox;12;6;0;5.0;7.0;170.18;135.0;61.23492
Philip;De Fries;;"6' 5""";250 lbs.;"79.0""";Orthodox;12;6;0;6.0;5.0;195.58;250.0;113.398
Chris;de la Rocha;;"6' 3""";250 lbs.;"80.0""";Orthodox;5;3;0;6.0;3.0;190.5;250.0;113.398
Montana;De La Rosa;;"5' 7""";125 lbs.;"68.0""";Orthodox;13;9;1;5.0;7.0;170.18;125.0;56.699
Mark;De La Rosa;Bumblebee;"5' 6""";135 lbs.;"65.0""";Orthodox;11;5;0;5.0;6.0;167.64000000000001;135.0;61.23492
Mike;de la Torre;El Cucuy;"5' 11""";145 lbs.;"71.0""";Orthodox;14;7;0;5.0;11.0;180.34;145.0;65.77083999999999
Rodrigo;de Lima;Monstro;"5' 7""";155 lbs.;--;Orthodox;8;3;1;5.0;7.0;170.18;155.0;70.30676
Edilberto;de Oliveira;Crocota;"6' 0""";170 lbs.;--;Orthodox;29;15;2;6.0;0.0;182.88;170.0;77.11064
Johil;de Oliveira;;"5' 6""";170 lbs.;--;Orthodox;17;15;1;5.0;6.0;167.64000000000001;170.0;77.11064
Jorge;de Oliveira;Blade;"5' 8""";155 lbs.;--;Orthodox;9;2;0;5.0;8.0;172.72;155.0;70.30676
Jair;De Oliveira;Mamute;"5' 9""";205 lbs.;"69.0""";;6;1;0;5.0;9.0;175.26;205.0;92.98636
Isabela;de Padua;Belinha;"5' 3""";125 lbs.;"64.0""";Orthodox;5;2;0;5.0;3.0;160.02;125.0;56.699
Gloria;de Paula;Glorinha;"5' 5""";115 lbs.;"67.0""";Orthodox;6;5;0;5.0;5.0;165.1;115.0;52.16308
Germaine;de Randamie;The Iron Lady;"5' 9""";135 lbs.;"71.0""";Orthodox;10;5;0;5.0;9.0;175.26;135.0;61.23492
Reinier;de Ridder;RdR;"6' 4""";185 lbs.;"78.0""";Southpaw;21;3;0;6.0;4.0;193.04;185.0;83.91452
Crezio;de Souza;;--;170 lbs.;--;Orthodox;1;2;0;;;;170.0;77.11064
Carl;Deaton;The Anishinaabe Kid;"5' 7""";155 lbs.;"69.0""";Orthodox;17;7;0;5.0;7.0;170.18;155.0;70.30676
Tom;DeBlass;;"6' 0""";185 lbs.;--;Orthodox;9;2;0;6.0;0.0;182.88;185.0;83.91452
Issac;DeJesus;;--;145 lbs.;--;;12;7;1;;;;145.0;65.77083999999999
Rafael;Del Real;;"5' 11""";225 lbs.;--;;6;20;0;5.0;11.0;180.34;225.0;102.0582
Shane;del Rosario;;"6' 4""";250 lbs.;--;Southpaw;11;2;0;6.0;4.0;193.04;250.0;113.398
Wallen;Del Rosario;;"5' 4""";125 lbs.;"67.0""";Orthodox;8;2;0;5.0;4.0;162.56;125.0;56.699
Yadier;del Valle;The Cuban Problem;"5' 9""";145 lbs.;"69.0""";Southpaw;10;0;0;5.0;9.0;175.26;145.0;65.77083999999999
Jose;Delano;;"5' 8""";145 lbs.;"70.0""";Orthodox;16;3;0;5.0;8.0;172.72;145.0;65.77083999999999
Humberto;DeLeon;;--;135 lbs.;--;;7;7;0;;;;135.0;61.23492
Rolando;Delgado;Roli;"6' 3""";155 lbs.;"77.0""";Orthodox;11;6;1;6.0;3.0;190.5;155.0;70.30676
Israel;Delgado;;"5' 10""";155 lbs.;--;;0;2;0;5.0;10.0;177.8;155.0;70.30676
Jose;Delgado;;"5' 11""";145 lbs.;"74.0""";Switch;10;2;0;5.0;11.0;180.34;145.0;65.77083999999999
Ante;Delija;Walking Trouble;"6' 3""";239 lbs.;"78.0""";Orthodox;26;7;0;6.0;3.0;190.5;239.0;108.408488
Jack;Della Maddalena;;"5' 11""";170 lbs.;"73.0""";Switch;18;3;0;5.0;11.0;180.34;170.0;77.11064
Roland;Delorme;;"5' 9""";135 lbs.;"71.0""";Orthodox;9;5;0;5.0;9.0;175.26;135.0;61.23492
Jon;Delos Reyes;The Heat;"5' 6""";125 lbs.;"67.0""";Orthodox;8;5;0;5.0;6.0;167.64000000000001;125.0;56.699
Jason;DeLucia;;"5' 11""";190 lbs.;--;Southpaw;33;21;1;5.0;11.0;180.34;190.0;86.18248
Justin;DeMoney;;--;170 lbs.;--;;15;7;1;;;;170.0;77.11064
Vanessa;Demopoulos;Lil Monster;"5' 2""";125 lbs.;"59.0""";Orthodox;11;8;0;5.0;2.0;157.48;125.0;56.699
Chris;Dempsey;;"5' 10""";185 lbs.;"72.0""";Orthodox;11;5;0;5.0;10.0;177.8;185.0;83.91452
Nick;Denis;The Ninja of Love;"5' 7""";135 lbs.;--;Orthodox;11;3;0;5.0;7.0;170.18;135.0;61.23492
Thomas;Denny;The Wildman;"5' 10""";170 lbs.;--;Orthodox;27;21;1;5.0;10.0;177.8;170.0;77.11064
Robert;Densley;The Wrecker;"5' 9""";155 lbs.;--;;9;10;0;5.0;9.0;175.26;155.0;70.30676
Jason;Dent;Dynamite;"5' 10""";155 lbs.;"71.0""";Orthodox;22;13;0;5.0;10.0;177.8;155.0;70.30676
Mackenzie;Dern;;"5' 4""";115 lbs.;"63.0""";Orthodox;16;5;0;5.0;4.0;162.56;115.0;52.16308
Booker;DeRousse;;"6' 2""";205 lbs.;--;;6;5;0;6.0;2.0;187.96;205.0;92.98636
Tony;DeSouza;;"6' 0""";170 lbs.;"70.0""";Southpaw;11;4;0;6.0;0.0;182.88;170.0;77.11064
Robelis;Despaigne;The Big Boy;"6' 7""";265 lbs.;"84.0""";Orthodox;5;2;0;6.0;7.0;200.66;265.0;120.20188
Cory;Devela;The One;"5' 0""";185 lbs.;--;Orthodox;16;7;0;5.0;0.0;152.4;185.0;83.91452
John;Devine;;--;--;--;;6;4;0;;;;;
Edwin;DeWees;Babyface;"6' 1""";185 lbs.;--;Orthodox;38;17;0;6.0;1.0;185.42000000000002;185.0;83.91452
Alessio;Di Chirico;Manzo;"6' 0""";185 lbs.;"74.0""";Orthodox;13;7;0;6.0;0.0;182.88;185.0;83.91452
Micol;Di Segni;;"5' 3""";115 lbs.;"60.0""";Orthodox;7;3;0;5.0;3.0;160.02;115.0;52.16308
Cyrille;Diabate;The Snake;"6' 6""";205 lbs.;"81.0""";Southpaw;19;10;1;6.0;6.0;198.12;205.0;92.98636
Thomas;Diagne;;"6' 1""";154 lbs.;--;;6;6;1;6.0;1.0;185.42000000000002;154.0;69.853168
Marc;Diakiese;Bonecrusher;"5' 10""";155 lbs.;"73.0""";Orthodox;17;7;0;5.0;10.0;177.8;155.0;70.30676
Tyler;Diamond;;"5' 7""";145 lbs.;"69.0""";Orthodox;9;1;0;5.0;7.0;170.18;145.0;65.77083999999999
Blood;Diamond;;"5' 11""";170 lbs.;"76.0""";Switch;3;3;0;5.0;11.0;180.34;170.0;77.11064
