First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Emiliano;Sordi;He-Man;"6' 2""";205 lbs.;--;Orthodox;16;7;0;6.0;2.0;187.96;205.0;92.98636
Sean;Soriano;;"5' 9""";145 lbs.;"70.0""";Orthodox;14;8;0;5.0;9.0;175.26;145.0;65.77083999999999
Punahele;Soriano;Puna;"5' 11""";170 lbs.;"72.0""";Southpaw;12;4;0;5.0;11.0;180.34;170.0;77.11064
Hecher;Sosa;Guanche Warrior;"5' 9""";135 lbs.;"70.0""";Orthodox;13;1;0;5.0;9.0;175.26;135.0;61.23492
Dmitry;Sosnovskiy;Wicked Machine;"6' 3""";240 lbs.;"77.0""";Orthodox;11;0;0;6.0;3.0;190.5;240.0;108.86207999999999
Ben;Sosoli;Combat Wombat;"6' 0""";265 lbs.;"72.0""";Southpaw;7;3;0;6.0;0.0;182.88;265.0;120.20188
Krzysztof;Soszynski;The Polish Experiment;"6' 1""";205 lbs.;"77.0""";Open Stance;26;12;1;6.0;1.0;185.42000000000002;205.0;92.98636
George;Sotiropoulos;;"5' 10""";155 lbs.;"71.0""";Orthodox;14;7;0;5.0;10.0;177.8;155.0;70.30676
Greg;Soto;;"5' 11""";170 lbs.;"73.0""";Orthodox;9;4;0;5.0;11.0;180.34;170.0;77.11064
Alex;Soto;Extremo;"5' 8""";135 lbs.;--;Southpaw;8;3;1;5.0;8.0;172.72;135.0;61.23492
Joe;Soto;One Bad Mofo;"5' 6""";135 lbs.;"65.0""";Orthodox;18;7;0;5.0;6.0;167.64000000000001;135.0;61.23492
Mario;Soto;Dr. Mario;"6' 0""";145 lbs.;--;;7;2;0;6.0;0.0;182.88;145.0;65.77083999999999
Andre;Soukhamthath;The Asian Sensation;"5' 9""";135 lbs.;"70.0""";Orthodox;13;8;0;5.0;9.0;175.26;135.0;61.23492
Mario;Sousa;Coracao Valente;"6' 3""";185 lbs.;"79.0""";Orthodox;15;3;0;6.0;3.0;190.5;185.0;83.91452
Manoel;Sousa;Manumito;"5' 9""";155 lbs.;"70.0""";Orthodox;13;1;0;5.0;9.0;175.26;155.0;70.30676
Bobby;Southworth;;"6' 2""";205 lbs.;--;Orthodox;10;6;0;6.0;2.0;187.96;205.0;92.98636
Jacare;Souza;;"6' 1""";185 lbs.;"72.0""";Orthodox;26;10;0;6.0;1.0;185.42000000000002;185.0;83.91452
Edimilson;Souza;Kevin;"6' 0""";145 lbs.;"74.0""";Orthodox;15;5;0;6.0;0.0;182.88;145.0;65.77083999999999
Livinha;Souza;The Brazilian Gangsta;"5' 3""";115 lbs.;"63.0""";Orthodox;14;4;0;5.0;3.0;160.02;115.0;52.16308
Bruno;Souza;The Tiger;"5' 10""";145 lbs.;"70.0""";Orthodox;10;3;0;5.0;10.0;177.8;145.0;65.77083999999999
Ketlen;Souza;Esquentadinha;"5' 3""";115 lbs.;"63.0""";Orthodox;16;6;0;5.0;3.0;160.02;115.0;52.16308
Heraldo;Souza;Savage;"5' 11""";185 lbs.;"73.0""";Orthodox;9;2;1;5.0;11.0;180.34;185.0;83.91452
Charon;Spain;;"5' 9""";155 lbs.;--;;14;26;0;5.0;9.0;175.26;155.0;70.30676
Chris;Spang;The Kiss;"6' 2""";170 lbs.;--;Orthodox;6;3;0;6.0;2.0;187.96;170.0;77.11064
Andreas;Spang;Sweet Swede;"6' 1""";185 lbs.;--;;9;3;0;6.0;1.0;185.42000000000002;185.0;83.91452
Ryan;Spann;Superman;"6' 5""";205 lbs.;"79.0""";Orthodox;23;11;0;6.0;5.0;195.58;205.0;92.98636
Ron;Sparks;The Monster;"6' 5""";265 lbs.;--;;8;3;0;6.0;5.0;195.58;265.0;120.20188
Tommy;Speer;;"5' 10""";170 lbs.;"71.0""";Orthodox;21;7;0;5.0;10.0;177.8;170.0;77.11064
Patrick;Speight;;"6' 1""";170 lbs.;--;Orthodox;7;3;0;6.0;1.0;185.42000000000002;170.0;77.11064
Sean;Spencer;Black Magic;"5' 10""";170 lbs.;"74.0""";Orthodox;12;6;0;5.0;10.0;177.8;170.0;77.11064
